Trip Start Timestamp,Pickup Community Area,Dropoff Community Area,Trip Total
4/7/2016 0:00,18,19,15
4/7/2016 0:00,8,28,7.5
4/7/2016 0:00,32,6,18
4/7/2016 0:00,24,7,10.75
4/7/2016 0:00,32,8,7
4/7/2016 0:00,32,7,13.75
4/7/2016 0:00,8,24,7.75
4/7/2016 0:00,8,6,17.4
4/7/2016 0:00,3,1,10.25
4/7/2016 0:00,8,24,12
4/7/2016 0:00,24,8,14.5
4/7/2016 0:00,76,6,44.1
4/7/2016 0:00,32,6,17
4/7/2016 0:00,6,24,12.75
4/7/2016 0:00,15,16,9.85
4/7/2016 0:00,32,32,3.25
4/7/2016 0:00,8,8,4.5
4/7/2016 0:00,24,3,16.25
4/7/2016 0:00,7,6,13.75
4/7/2016 0:00,16,16,3.25
4/7/2016 0:00,8,24,13.8
4/7/2016 0:00,76,8,53.76
4/7/2016 0:00,24,24,7.25
4/7/2016 0:00,8,24,16.5
4/7/2016 0:00,32,6,17.54
4/7/2016 0:00,8,8,9.25
4/7/2016 0:00,8,8,6.75
4/7/2016 0:00,3,4,10
4/7/2016 0:00,6,7,9
4/7/2016 0:00,7,22,15
4/7/2016 0:00,32,24,16.8
4/7/2016 0:00,8,2,30.25
4/7/2016 0:00,32,33,10.25
4/7/2016 0:00,8,8,9
4/7/2016 0:00,6,21,9.5
4/7/2016 0:00,14,6,13.75
4/7/2016 0:00,28,32,8
4/7/2016 0:00,3,3,3.75
4/7/2016 0:00,6,6,4
4/7/2016 0:00,8,68,24.5
4/7/2016 0:00,1,32,33.06
4/7/2016 0:00,32,7,12.94
4/7/2016 0:00,28,32,10.75
4/7/2016 0:00,24,24,7.25
4/7/2016 0:00,22,77,17.75
4/7/2016 0:00,8,24,12.25
4/7/2016 0:00,32,32,5.75
4/7/2016 0:00,32,6,16.25
4/7/2016 0:00,32,28,6.5
4/7/2016 0:00,8,8,4.75
4/7/2016 0:00,32,7,18.4
4/7/2016 0:00,76,24,52.2
4/7/2016 0:00,28,12,28
4/7/2016 0:00,6,22,14
4/7/2016 0:00,32,77,24.75
4/7/2016 0:00,24,4,15.25
4/7/2016 0:00,2,2,4.75
4/7/2016 0:00,3,77,9
4/7/2016 0:00,14,8,23.45
4/7/2016 0:00,28,32,9
4/7/2016 0:00,8,7,14.4
4/7/2016 0:00,56,7,51
4/7/2016 0:00,32,24,9.25
4/7/2016 0:00,24,32,15
4/7/2016 0:00,76,76,3.75
4/7/2016 0:00,8,14,27.89
4/7/2016 0:00,24,24,4.5
4/7/2016 0:00,28,28,7.5
4/7/2016 0:00,32,24,15.81
4/7/2016 0:00,7,5,17.1
4/7/2016 0:00,8,3,20.5
4/7/2016 0:00,24,23,15.25
4/7/2016 0:00,8,22,10.75
4/7/2016 0:00,32,8,9
4/7/2016 0:00,4,32,23.75
4/7/2016 0:00,6,7,4.75
4/7/2016 0:00,24,7,10
4/7/2016 0:00,76,8,56.4
4/7/2016 0:00,11,10,8.75
4/7/2016 0:00,32,8,5
4/7/2016 0:00,2,2,5.25
4/7/2016 0:00,8,8,8.75
4/7/2016 0:00,76,31,61.8
4/7/2016 0:00,32,32,3.25
4/7/2016 0:00,6,8,18.3
4/7/2016 0:00,5,5,10.75
4/7/2016 0:00,6,3,5.75
4/7/2016 0:00,32,24,16.25
4/7/2016 0:00,8,32,8.25
4/7/2016 0:00,76,3,45.25
4/7/2016 0:00,8,33,11.75
4/7/2016 0:00,8,8,5.75
4/7/2016 0:00,56,32,48.5
4/7/2016 0:00,28,8,8
4/7/2016 0:00,8,22,18.75
4/7/2016 0:00,24,7,7
4/7/2016 0:00,8,8,8.5
4/7/2016 0:00,28,8,16.5
4/7/2016 0:00,32,32,46.25
4/7/2016 0:00,8,32,13.25
4/7/2016 0:00,8,14,7.5
4/7/2016 0:00,8,5,16.25
4/7/2016 0:00,8,8,6.5
4/7/2016 0:00,8,32,6.25
4/7/2016 0:00,8,7,13.25
4/7/2016 0:00,4,3,7.25
4/7/2016 0:00,76,8,56.1
4/7/2016 0:00,8,8,43.2
4/7/2016 0:00,32,6,16.75
4/7/2016 0:00,76,8,55
4/7/2016 0:00,28,22,12.5
4/7/2016 0:00,32,32,5.25
4/7/2016 0:00,32,7,20.5
4/7/2016 0:00,7,6,17
4/7/2016 0:00,76,76,11.25
4/7/2016 0:00,8,32,9
4/7/2016 0:00,8,32,9
4/7/2016 0:00,4,6,13.5
4/7/2016 0:00,32,8,11.25
4/7/2016 0:00,8,4,22.5
4/7/2016 0:00,4,6,8.75
4/7/2016 0:00,8,8,6
4/7/2016 0:00,8,32,9.75
4/7/2016 0:00,28,23,14.5
4/7/2016 0:00,8,28,7.75
4/7/2016 0:00,76,8,52
4/7/2016 0:00,28,32,9
4/7/2016 0:00,32,32,3.25
4/7/2016 0:00,8,8,6.25
4/7/2016 0:00,32,31,15
4/7/2016 0:00,76,28,54.75
4/7/2016 0:00,24,24,26
4/7/2016 0:00,6,7,11
4/7/2016 0:00,4,6,15
4/7/2016 0:00,8,22,15.5
4/7/2016 0:00,76,8,53.5
4/7/2016 0:00,1,1,19
4/7/2016 0:00,8,8,5.25
4/7/2016 0:00,8,22,12.75
4/7/2016 0:00,8,8,5.5
4/7/2016 0:00,3,4,10.75
4/7/2016 0:00,76,24,42.5
4/7/2016 0:00,33,32,11.25
4/7/2016 0:00,8,77,22.5
4/7/2016 0:00,8,24,11.75
4/7/2016 0:00,32,3,23.7
4/7/2016 0:00,6,6,13.5
4/7/2016 0:00,8,8,8.25
4/7/2016 0:00,8,8,8
4/7/2016 0:00,7,7,9
4/7/2016 0:00,8,8,8
4/7/2016 0:00,8,6,24
4/7/2016 0:00,56,8,37
4/7/2016 0:00,22,7,12.5
4/7/2016 0:00,8,24,10.75
4/7/2016 0:00,32,32,4
4/7/2016 0:00,76,8,53.75
4/7/2016 0:00,8,8,9.5
4/7/2016 0:00,24,24,10.25
4/7/2016 0:00,32,31,14
4/7/2016 0:00,33,6,21.3
4/7/2016 0:00,32,76,54.3
4/7/2016 0:00,32,8,7.75
4/7/2016 0:00,6,8,16.25
4/7/2016 0:00,7,7,8.5
4/7/2016 0:00,8,8,8.75
4/7/2016 0:00,28,8,15.18
4/7/2016 0:00,7,8,13
4/7/2016 0:00,8,32,8.5
4/7/2016 0:00,24,24,12.5
4/7/2016 0:00,32,22,22.25
4/7/2016 0:00,7,8,9.75
4/7/2016 0:00,32,32,3.5
4/7/2016 0:00,32,32,9.5
4/7/2016 0:00,32,8,15
4/7/2016 0:00,22,28,17.25
4/7/2016 0:00,28,7,16.25
4/7/2016 0:00,28,8,9
4/7/2016 0:00,32,24,12.3
4/7/2016 0:00,8,25,18.75
4/7/2016 0:00,7,1,26.4
4/7/2016 0:00,32,28,11.5
4/7/2016 0:00,8,8,13.2
4/7/2016 0:00,28,7,15.75
4/7/2016 0:00,8,8,8.5
4/7/2016 0:00,8,8,8
4/7/2016 0:00,8,8,5
4/7/2016 0:00,28,5,17.5
4/7/2016 0:00,8,8,4.75
4/7/2016 0:00,28,7,10.75
4/7/2016 0:00,8,33,10.5
4/7/2016 0:00,56,8,35.75
4/7/2016 0:00,35,35,3.25
4/7/2016 0:00,8,24,12
4/7/2016 0:00,8,8,9.75
4/7/2016 0:00,28,32,10
4/7/2016 0:00,32,31,10.5
4/7/2016 0:00,8,8,11.5
4/7/2016 0:00,56,24,41.7
4/7/2016 0:00,32,7,15.3
4/7/2016 0:00,8,24,17.15
4/7/2016 0:00,32,24,14.7
4/7/2016 0:00,32,4,25.75
4/7/2016 0:00,32,24,8.5
4/7/2016 0:00,1,4,8.75
4/7/2016 0:00,28,28,4
4/7/2016 0:00,28,8,10.75
4/7/2016 0:00,7,8,13.5
4/7/2016 0:00,28,43,30.75
4/7/2016 0:00,56,12,66.6
4/7/2016 0:00,23,24,8.75
4/7/2016 0:00,32,28,7.25
4/7/2016 0:00,32,32,5
4/7/2016 0:00,28,32,9.25
4/7/2016 0:00,7,28,11.75
4/7/2016 0:00,32,3,19.25
4/7/2016 0:00,8,6,19.8
4/7/2016 0:00,8,77,21
4/7/2016 0:00,7,33,16
